Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чекалюк,Єлисей,Олександрович,male,1981-06-13,HR-менеджер,місто Чоп,"проспект Віри Холодної, буд. 361 кв. 5, Бережани, 94283",549 01 99,shchorsmarko@example.com
Вакарчук,Софія,Ярославівна,female,1977-01-04,Кадровий менеджер,місто Підгайці,"провулок Український 2-й, буд. 48 кв. 12, Скадовськ, 68729",+380 (56) 996-61-06,filipenkoodarka@example.net
Оліфіренко,Гаврило,Геннадійович,male,1966-08-13,Інженер з якості,хутір Южне,"площа Олександра Блока, буд. 1 кв. 008, Гнівань, 86808",877 37 25,liudmyladankiv@example.net
Козак,Галина,Назарівна,female,1969-06-28,Фінансовий аналітик,селище Березань ,"шосе Садовського, буд. 230, Сулимівка (Слов'янськ), 94894",+380 84 816-96-27,prokhir33@example.net
Безбородьки,Надія,Денисівна,female,1946-07-31,Дизайнер,селище Обухів,"проспект Кільовий, буд. 96 кв. 483, Кролевець, 12834",+380 (80) 262-81-35,makohonmariana@example.com
Наливайко,Захар,Васильович,male,1994-12-02,Інженер з якості,селище Бібрка,"площа Деревообробна, буд. 63 кв. 97, Монастирище, 76867",892-53-28,teodor34@example.org
Гук,Олесь,Максимович,male,1980-03-30,Програміст,село Довжанськ,"шосе Десятого квітня, буд. 328 кв. 85, Тячів, 01744",+380 00 006-35-48,bohuslav57@example.org
Швачка,Соломія,Олексіївна,female,1958-07-31,Програміст,хутір Новий Розділ,"шосе Якутська, буд. 9, Кролевець, 32125",+380 08 960-66-64,tymofiibaranets@example.org
Базилевський,Ростислав,Захарович,male,1993-03-02,PR-менеджер,селище Дубно,"шосе Катаєва, буд. 541, Балаклія, 24682",+380 84 817 94 30,vvlasiuk@example.org
Їжак,Ірина,Леонідівна,female,1972-09-18,Тестувальник,село Шпола,"провулок Прорізний, буд. 1 кв. 2, Добропілля, 53485",+380 (65) 488-14-16,dereviankomykyta@example.org
Ткач,Миколай,Євгенович,male,2004-03-11,Програміст,селище Свалява,"шосе Кримський, буд. 8, Глобине, 44490",+380 50 321-58-93,dankevychheorhii@example.com
Верменич,Вікторія,Юріївна,female,1974-02-06,Менеджер з маркетингу,селище Богуслав,"площа Житомирський 4-й, буд. 959, Феодосія, 45054",055 448 21 96,maksym18@example.net
Лаба,Віолетта,Кирилівна,female,2003-08-25,Фінансовий аналітик,село Дніпрорудне,"проспект Пересипська 3-тя, буд. 89, Бобринець, 25521",+380 68 998-47-06,levkoadamchuk@example.com
Тимченко,Орина,Іванівна,female,2007-05-13,HR-менеджер,місто Олександрія,"провулок Лінія 44-та, буд. 373, Добропілля, 97958",068 015-23-58,makohonleontii@example.com
Андрійчук,Надія,Юріївна,female,2008-10-31,Аналітик даних,село Сватове,"вулиця Літня, буд. 997, Олександрівськ, 07662",064 735-78-32,konoplenkohryhorii@example.org
Сірченко,Юстина,Костянтинівна,female,1943-12-10,Менеджер з продукту,село Хуст,"узвіз Новаторів, буд. 2 кв. 4, Шепетівка, 41798",+380 (82) 691-13-63,ziaremchuk@example.com
Кабаненко,Юстим,Тимофійович,male,1950-06-13,Архітектор,хутір Галич,"проспект Богдана Хмельницького, буд. 458 кв. 9, Волочиськ, 16410",068 028-89-59,dkhudiak@example.com
Вернидуб,Зорян,Тимофійович,male,1960-07-09,Дизайнер,селище Горлівка,"провулок Авіаційна, буд. 785, Самбір, 26703",+380 97 511 85 22,laverchenko@example.com
Артюх,Гліб,Тарасович,male,1965-06-17,Бухгалтер,місто Ворожба,"шосе 12-та Суворовська, буд. 167 кв. 0, Баштанка, 59237",+380 (87) 182-61-41,akadeniuk@example.com
Микитюк,Віолетта,Денисівна,female,1945-10-28,Асистент керівника,село Моршин,"парк 6-та Суворовська, буд. 88, Суходільськ, 27790",317-13-29,les72@example.com
Деркач,Марина,Романівна,female,1950-04-17,Бухгалтер,місто Бурштин ,"шосе Середньофонтанська, буд. 9 кв. 427, Сновськ, 96539",+380 31 819 00 25,haivoronskyivasylyna@example.com
Твердохліб,Дарина,Зеновіївна,female,1998-06-29,Тестувальник,селище Ланівці,"парк Ціолковського, буд. 351, Миргород, 31542",+380 20 507 21 24,btykhyi@example.com
Дараган,Оксенія,Сергіївна,female,1964-09-26,Менеджер з продукту,місто Тальне,"набережна Кишинівська, буд. 411, Керч, 50293",+380 69 220 06 99,fkozak@example.org
Скоробогатько,Віктор,Васильович,male,1965-05-17,Тестувальник,хутір Баранівка,"парк Люстдорфський, буд. 5 кв. 09, Чорноморськ, 26622",+380 95 647-17-67,babiukbohodar@example.org
Тимченко,Едуард,Андрійович,male,1957-06-02,Фінансовий аналітик,місто Болехів,"проспект Закарпатська, буд. 79, Ямпіль, 31476",423-73-36,anastasiia69@example.net
Тичина,Оксана,Андріївна,female,1957-05-09,Аналітик даних,село Ковель,"вулиця Пересипський 2-й, буд. 888 кв. 553, Первомайський , 08127",124-06-99,tkachdanna@example.com
Пилипенко,Ярема,Кирилович,male,1953-04-10,Аудитор,село Полонне,"парк Калинова, буд. 5 кв. 781, Старобільськ, 82575",017 880-90-72,oleksakovpak@example.net
Корж,Орина,Василівна,female,1999-11-07,Асистент керівника,місто Середина-Буда,"шосе Лінія 31-ша, буд. 49, Шепетівка, 56677",+380 77 677-62-02,eduardruban@example.net
Цісик,Софія,Борисівна,female,1974-11-20,Менеджер з закупівель,село Сновськ,"вулиця Архітекторська, буд. 67, Олександрія, 35627",+380 (04) 870-54-78,larysavernydub@example.com
Дейнека,Валентина,Павлівна,female,1986-03-30,Менеджер з продажу,хутір Сорокине,"узвіз Подільська, буд. 6, Скадовськ, 36810",+380 00 649 98 80,unestaiko@example.net
Атаманчук,Марина,Володимирівна,female,1965-11-29,Інженер з якості,місто Добропілля,"проспект Задніпровського, буд. 33 кв. 54, Маріуполь, 79981",483 38 51,oles92@example.net
Кабаненко,Леопольд,Кирилович,male,1985-07-22,Фінансовий аналітик,село Армянськ,"вулиця Тираспольська, буд. 59 кв. 3, Білопілля, 51419",559 15 18,spas53@example.net
Худобʼяк,Єлисавета,Федорівна,female,1969-09-06,Менеджер з продукту,місто Кам'янка (Черкаська область),"площа Гранатна, буд. 33, Кобеляки, 34786",+380 12 034-75-82,ihorbaranyk@example.org
Єресько,Орест,Федорович,male,1958-01-02,Менеджер з маркетингу,місто Вараш,"шосе Майстерний, буд. 6, Мелітополь, 01369",248 01 13,priska77@example.com
Ґалаґан,Надія,Ярославівна,female,1959-02-21,Системний адміністратор,село Білозерське,"набережна Амурська, буд. 932, Кривий Ріг, 68708",635 97 50,darahanvalentyna@example.com
